rank_group,rank_absolute,domain,title,url,image_url,snippet,time_published,timestamp
35,40,www.24h.com.vn,"Căng thẳng Nga - Ukraine ngày 26/1: Tên lửa ""bất khả chiến bại” Kinzhal của 
Nga không hoạt động tốt như mong đợi?",https://www.24h.com.vn/tin-tuc-quoc-te/cang-thang-nga-ukraine-ngay-26-1-ten-lua-bat-kha-chien-bai-kinzhalcua-nga-khong-hoat-dong-tot-nhu-mong-doi-c415a1539244.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:34,"Theo ông Yurii Ihnat - người phát ngôn của Lực lượng Không quân Ukraine, có 
những dấu hiệu cho thấy tên lửa Kinzhal của Nga không hoạt động...",4 giờ trước,2024-01-26 11:58:33 +00:00
36,41,tuoitre.vn,"Máy bay chở tù binh rơi, cả Nga và Ukraine đề nghị một cuộc điều tra quốc tế",https://tuoitre.vn/may-bay-cho-tu-binh-roi-ca-nga-va-ukraine-de-nghi-mot-cuoc-dieu-tra-quoc-te-20240125213444212.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:35,"Truyền thông Nga đưa tin các mảnh vỡ dường như của một tên lửa đã được tìm 
thấy tại địa điểm nơi một máy bay chở tù binh Ukraine bị rơi ở...",1 ngày trước,2024-01-25 15:58:33 +00:00
37,42,dantri.com.vn,Nga tuyên bố sẵn sàng đàm phán giải quyết xung đột Ukraine,https://dantri.com.vn/the-gioi/nga-tuyen-bo-san-sang-dam-phan-giai-quyet-xung-dot-ukraine-20240126122714635.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:36,"(Dân trí) - Người phát ngôn Điện Kremlin tuyên bố Nga vẫn để ngỏ khả năng 
đàm phán về việc giải quyết xung đột Ukraine và muốn đạt được mục...",8 giờ trước,2024-01-26 07:58:33 +00:00
38,43,dantri.com.vn,"Moscow ""tố"" phương Tây đào tạo Ukraine tấn công nhà máy hạt nhân Nga",https://dantri.com.vn/the-gioi/moscow-to-phuong-tay-dao-tao-ukraine-tan-cong-nha-may-hat-nhan-nga-20240126111638831.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:37,"(Dân trí) - Lãnh đạo tình báo Nga cáo buộc rằng Ukraine có kế hoạch tấn 
công nhà máy hạt nhân của phía Moscow và phương Tây đứng sau để đào...",10 giờ trước,2024-01-26 05:58:33 +00:00
39,44,www.24h.com.vn,Nga tiết lộ thông tin mới vụ Ukraine bắn rơi máy bay chở 65 tù binh,https://www.24h.com.vn/tin-tuc-quoc-te/nga-tiet-lo-thong-tin-moi-vu-ukraine-ban-roi-may-bay-cho-65-tu-binh-c415a1539009.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:38,"Ông Andrey Kartapolov – Chủ tịch Ủy ban Quốc phòng Duma Nga – cho biết, 
Kiev đã được báo trước về chuyến bay chở 65 tù binh Ukraine.",21 giờ trước,2024-01-25 18:58:33 +00:00
40,45,tienphong.vn,"Xung đột Nga - Ukraine ngày 26/1: Ukraine nghi máy bay Il-76 chở cả tù binh 
lẫn tên lửa S-300",https://tienphong.vn/xung-dot-nga-ukraine-ngay-261-ukraine-nghi-may-bay-il-76-cho-ca-tu-binh-lan-ten-lua-s-300-post1607926.tpo,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:39,"Cơ quan Tình báo Quốc phòng Ukraine (DIU) đề cập đến khả năng trên chiếc 
máy bay Il-76 gặp tai nạn ở Vùng Belgorod (Nga) có cả tên lửa S-300...",9 giờ trước,2024-01-26 06:58:33 +00:00
41,46,dantri.com.vn,Nga nói máy bay chở tù binh trúng 2 tên lửa Ukraine,https://dantri.com.vn/the-gioi/nga-noi-may-bay-cho-tu-binh-trung-2-ten-lua-ukraine-20240126075433176.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:40,"(Dân trí) - Nga cáo buộc Ukraine bắn rơi máy bay Nga chở tù binh bằng 2 tên 
lửa đất đối không. Một số nguồn tin cho rằng, đây có thể là tên...",15 giờ trước,2024-01-26 00:58:33 +00:00
42,47,tienphong.vn,Hai người Nga bị bắt vì nghi làm gián điệp cho Ukraine,https://tienphong.vn/hai-nguoi-nga-bi-bat-vi-nghi-lam-gian-diep-cho-ukraine-post1608073.tpo,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:41,"Cơ quan An ninh Liên bang Nga (FSB) đã bắt giữ hai người Nga ở 
Rostov-on-Don vì bị tình nghi chuyển thông tin liên quan đến các đơn vị 
quân...",4 giờ trước,2024-01-26 11:58:33 +00:00
43,48,tuoitre.vn,Nga 'giội gáo nước lạnh' vào lời hứa về Ukraine của ông Trump,https://tuoitre.vn/nga-doi-gao-nuoc-lanh-vao-loi-hua-cua-ong-trump-20240125110529353.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:42,"Ông Trump từng tuyên bố có thể chấm dứt xung đột Nga - Ukraine trong vòng 
24 giờ nếu tái đắc cử tổng thống Mỹ vào năm 2024.",1 ngày trước,2024-01-25 15:58:33 +00:00
44,49,vnexpress.net,Đức bác tin chuyển tên lửa tầm xa cho Anh,https://vnexpress.net/duc-bac-tin-chuyen-ten-lua-tam-xa-cho-anh-4705314.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:43,"Bộ trưởng Quốc phòng Đức nói ông không biết đề nghị chuyển tên lửa hành 
trình Taurus cho Anh để nước này chuyển Storm Shadow cho Ukraine.",13 giờ trước,2024-01-26 02:58:33 +00:00
